effect,move,distance0,orientation0,inclination0
left,close_right_down,dist_2,orien_7,inclin_1
left,close_right_down,dist_2,orien_7,inclin_1
left,close_right_down,dist_2,orien_6,inclin_1
left,close_right_down,dist_2,orien_5,inclin_2
left,close_right_down,dist_2,orien_4,inclin_2
left,close_right_down,dist_2,orien_4,inclin_2
left,close_left_down,dist_2,orien_3,inclin_3
left,left,dist_2,orien_3,inclin_4
left,left,dist_1,orien_3,inclin_4
left,left,dist_1,orien_3,inclin_4
left,left,dist_0,orien_3,inclin_4
right,close_left_down,dist_2,orien_7,inclin_1
right,close_left_down,dist_2,orien_7,inclin_1
right,close_left_down,dist_2,orien_8,inclin_1
right,close_left_down,dist_2,orien_9,inclin_2
right,close_left_down,dist_2,orien_10,inclin_2
right,close_left_down,dist_2,orien_10,inclin_2
right,close_right_down,dist_2,orien_11,inclin_3
right,right,dist_2,orien_11,inclin_4
right,right,dist_1,orien_11,inclin_4
right,right,dist_1,orien_11,inclin_4
right,right,dist_0,orien_11,inclin_4
close,down,dist_2,orien_7,inclin_1
close,down,dist_2,orien_7,inclin_1
close,down,dist_2,orien_7,inclin_2
close,down,dist_2,orien_7,inclin_2
close,down,dist_2,orien_7,inclin_3
close,down,dist_2,orien_7,inclin_3
close,close,dist_2,orien_7,inclin_4
close,close,dist_2,orien_7,inclin_4
close,close,dist_1,orien_7,inclin_4
close,close,dist_1,orien_7,inclin_4
close,close,dist_0,orien_7,inclin_4
far,close,dist_2,orien_7,inclin_1
far,close,dist_2,orien_7,inclin_1
far,close,dist_2,orien_7,inclin_1
far,close,dist_2,orien_7,inclin_0
far,close,dist_2,orien_7,inclin_0
far,close_down,dist_2,orien_15,inclin_0
far,close_down,dist_2,orien_15,inclin_0
far,close_down,dist_2,orien_15,inclin_1
far,close_down,dist_2,orien_15,inclin_1
far,close_down,dist_2,orien_15,inclin_2
far,close_down,dist_2,orien_15,inclin_2
far,far_down,dist_2,orien_15,inclin_3
far,far,dist_2,orien_15,inclin_4
far,far,dist_1,orien_15,inclin_3
far,far,dist_1,orien_15,inclin_3
far,far,dist_0,orien_15,inclin_3
left,right,dist_2,orien_11,inclin_1
left,right,dist_2,orien_11,inclin_1
left,right,dist_2,orien_11,inclin_1
left,right,dist_2,orien_11,inclin_0
left,right,dist_2,orien_11,inclin_0
left,right_down,dist_2,orien_3,inclin_0
left,right_down,dist_2,orien_3,inclin_0
left,right_down,dist_2,orien_3,inclin_1
left,right_down,dist_2,orien_3,inclin_1
left,right_down,dist_2,orien_3,inclin_2
left,right_down,dist_2,orien_3,inclin_2
left,left_down,dist_2,orien_3,inclin_3
left,left,dist_2,orien_3,inclin_4
left,left,dist_1,orien_3,inclin_4
left,left,dist_1,orien_3,inclin_4
left,left,dist_0,orien_3,inclin_4
right,down,dist_2,orien_11,inclin_1
right,down,dist_2,orien_11,inclin_1
right,down,dist_2,orien_11,inclin_2
right,down,dist_2,orien_11,inclin_2
right,down,dist_2,orien_11,inclin_3
right,down,dist_2,orien_11,inclin_3
right,right,dist_2,orien_11,inclin_4
right,right,dist_2,orien_11,inclin_4
right,right,dist_1,orien_11,inclin_4
right,right,dist_1,orien_11,inclin_4
right,right,dist_0,orien_11,inclin_4
close,far_right_down,dist_2,orien_11,inclin_1
close,far_right_down,dist_2,orien_11,inclin_1
close,far_right_down,dist_2,orien_10,inclin_1
close,far_right_down,dist_2,orien_9,inclin_2
close,far_right_down,dist_2,orien_8,inclin_2
close,far_right_down,dist_2,orien_8,inclin_2
close,close_right_down,dist_2,orien_7,inclin_3
close,close,dist_2,orien_7,inclin_4
close,close,dist_1,orien_7,inclin_4
close,close,dist_1,orien_7,inclin_4
close,close,dist_0,orien_7,inclin_4
far,close_right_down,dist_2,orien_11,inclin_1
far,close_right_down,dist_2,orien_11,inclin_1
far,close_right_down,dist_2,orien_12,inclin_1
far,close_right_down,dist_2,orien_13,inclin_2
far,close_right_down,dist_2,orien_14,inclin_2
far,close_right_down,dist_2,orien_14,inclin_2
far,far_right_down,dist_2,orien_15,inclin_3
far,far,dist_2,orien_15,inclin_4
far,far,dist_1,orien_15,inclin_3
far,far,dist_1,orien_15,inclin_3
far,far,dist_0,orien_15,inclin_3
left,far_right_down,dist_2,orien_15,inclin_1
left,far_right_down,dist_2,orien_15,inclin_1
left,far_right_down,dist_2,orien_0,inclin_1
left,far_right_down,dist_2,orien_1,inclin_2
left,far_right_down,dist_2,orien_2,inclin_2
left,far_right_down,dist_2,orien_2,inclin_2
left,far_left_down,dist_2,orien_3,inclin_3
left,left,dist_2,orien_3,inclin_4
left,left,dist_1,orien_3,inclin_4
left,left,dist_1,orien_3,inclin_4
left,left,dist_0,orien_3,inclin_4
right,far_left_down,dist_2,orien_15,inclin_1
right,far_left_down,dist_2,orien_15,inclin_1
right,far_left_down,dist_2,orien_14,inclin_1
right,far_left_down,dist_2,orien_13,inclin_2
right,far_left_down,dist_2,orien_12,inclin_2
right,far_left_down,dist_2,orien_12,inclin_2
right,far_right_down,dist_2,orien_11,inclin_3
right,right,dist_2,orien_11,inclin_4
right,right,dist_1,orien_11,inclin_4
right,right,dist_1,orien_11,inclin_4
right,right,dist_0,orien_11,inclin_4
close,far,dist_2,orien_15,inclin_1
close,far,dist_2,orien_15,inclin_1
close,far,dist_2,orien_15,inclin_1
close,far,dist_2,orien_15,inclin_0
close,far,dist_2,orien_15,inclin_0
close,far_down,dist_2,orien_7,inclin_0
close,far_down,dist_2,orien_7,inclin_0
close,far_down,dist_2,orien_7,inclin_1
close,far_down,dist_2,orien_7,inclin_2
close,far_down,dist_2,orien_7,inclin_2
close,far_down,dist_2,orien_7,inclin_2
close,close_down,dist_2,orien_7,inclin_3
close,close,dist_2,orien_7,inclin_4
close,close,dist_1,orien_7,inclin_4
close,close,dist_1,orien_7,inclin_4
close,close,dist_0,orien_7,inclin_4
far,left_down,dist_2,orien_1,inclin_1
far,down,dist_2,orien_0,inclin_1
far,down,dist_2,orien_0,inclin_2
far,down,dist_2,orien_0,inclin_2
far,left_down,dist_2,orien_0,inclin_3
far,left_down,dist_2,orien_0,inclin_3
far,far_down,dist_2,orien_15,inclin_3
far,far,dist_2,orien_15,inclin_3
far,far,dist_1,orien_15,inclin_3
far,far,dist_1,orien_15,inclin_3
far,far,dist_0,orien_15,inclin_3
left,down,dist_2,orien_3,inclin_1
left,down,dist_2,orien_3,inclin_1
left,down,dist_2,orien_3,inclin_2
left,down,dist_2,orien_3,inclin_2
left,down,dist_2,orien_3,inclin_3
left,down,dist_2,orien_3,inclin_3
left,left,dist_2,orien_3,inclin_4
left,left,dist_2,orien_3,inclin_4
left,left,dist_1,orien_3,inclin_4
left,left,dist_1,orien_3,inclin_4
left,left,dist_0,orien_3,inclin_4
right,left,dist_2,orien_3,inclin_1
right,left,dist_2,orien_3,inclin_1
right,left,dist_2,orien_3,inclin_1
right,left,dist_2,orien_3,inclin_0
right,left,dist_2,orien_3,inclin_0
right,left_down,dist_2,orien_11,inclin_0
right,left_down,dist_2,orien_11,inclin_0
right,left_down,dist_2,orien_11,inclin_1
right,left_down,dist_2,orien_11,inclin_1
right,left_down,dist_2,orien_11,inclin_2
right,left_down,dist_2,orien_11,inclin_2
right,right_down,dist_2,orien_11,inclin_3
right,right,dist_2,orien_11,inclin_4
right,right,dist_1,orien_11,inclin_4
right,right,dist_1,orien_11,inclin_4
right,right,dist_0,orien_11,inclin_4
close,far_left_down,dist_2,orien_3,inclin_1
close,far_left_down,dist_2,orien_3,inclin_1
close,far_left_down,dist_2,orien_4,inclin_1
close,far_left_down,dist_2,orien_5,inclin_2
close,far_left_down,dist_2,orien_6,inclin_2
close,far_left_down,dist_2,orien_6,inclin_2
close,close_left_down,dist_2,orien_7,inclin_3
close,close,dist_2,orien_7,inclin_4
close,close,dist_1,orien_7,inclin_4
close,close,dist_1,orien_7,inclin_4
close,close,dist_0,orien_7,inclin_4
far,close_left_down,dist_2,orien_3,inclin_1
far,close_left_down,dist_2,orien_3,inclin_1
far,close_left_down,dist_2,orien_2,inclin_1
far,close_left_down,dist_2,orien_1,inclin_2
far,close_left_down,dist_2,orien_0,inclin_2
far,close_left_down,dist_2,orien_0,inclin_2
far,far_left_down,dist_2,orien_15,inclin_3
far,far,dist_2,orien_15,inclin_3
far,far,dist_1,orien_15,inclin_3
far,far,dist_1,orien_15,inclin_3
